식재료명,권장_도입_시기,알레르기_주의_수준,주요_증상_즉시형,주요_증상_지연형,반응_발현_시점,도입_방법,절대_금지_형태,고위험군_상담_필요,긴급_진료_기준,참고_카드,출처
달걀,이유식 적응 후(6개월 이후) / 무조건 늦출 필요 없음,주의 필요(대표 알레르기 유발 식품 중 하나),"두드러기·붉어짐·가려움, 구토, 기침·호흡기 증상","설사·대변 변화, 피부 발진","즉시(수분~수시간) 또는 지연(수시간~수일 가능)",충분히 익혀서 소량부터 시작 / 다른 새 재료와 동시 시작 금지 / 처음 먹인 날 피부·구토·설사·기침 관찰,생달걀(미조리) 형태,심한 아토피나 기존 알레르기 병력 있으면 시작 전 소아청소년과 상담,호흡곤란·반복 구토·전신 두드러기·축 처짐 → 즉시 진료,카드 8(달걀) / 카드 7(알레르기 증상) / 카드 9(두드러기 대처),대한소아청소년과학회
우유(생우유),생우유를 주 음료로 마시는 것은 돌 이후(12개월+) / 조리 재료 소량은 이유식 중 가능한 경우 있음,주의 필요(알레르기 또는 유당불내증으로 나타날 수 있음),"두드러기·구토·혈변·호흡기 증상(알레르기)", "복부팽만·가스·설사(유당불내증) / 우유 알레르기는 최대 3일 후 증상 가능","즉시형 또는 지연형(우유 알레르기 지연 반응 최대 3일)","생우유는 돌 이후 고려 / 알레르기(면역 반응)와 유당불내증(소화 문제) 구분 필요 / 증상 기록이 진료에 도움",없음(단 돌 전 생우유 주 음료 금지),"혈변·반복 구토·체중 증가 부진·호흡 증상 있으면 상담",혈변·반복 구토·체중 증가 부진·호흡 증상 → 진료,카드 28(우유 알레르기 vs 유당불내증) / 카드 42(생우유) / 카드 29(지연성 반응),NHS·식품안전나라
땅콩,이유식 적응 후 / 무조건 늦출 필요 없음(늦춘다고 예방된다는 증거 없음),아나필락시스 가능(주의 필요),"두드러기·피부 발진·얼굴 부종, 구토, 호흡곤란·아나필락시스 가능",지연 반응 가능,즉시형(수분~수시간) 중심,"통땅콩 절대 금지(질식 위험) / 부드럽게 희석한 땅콩버터·가루 형태로 아주 소량부터 시작 / 처음 먹인 날 반응 관찰",통땅콩·큰 덩어리 형태(질식 위험),기존 알레르기나 심한 아토피 있으면 시작 전 소아청소년과 상담,아나필락시스 의심(호흡곤란·얼굴 부종·전신 두드러기·축 처짐) → 즉시 응급,카드 30(땅콩) / 카드 34(가족력) / 카드 13(질식 위험),대한소아청소년과학회·NHS
생선,이유식 어느 정도 진행 후 / 다른 식품에 적응한 뒤 시작,알레르기 가능 / 가시 질식 위험 동반,"피부 발진·두드러기, 구토, 기침","설사, 지연 반응 가능","즉시 또는 지연","잘 익혀서 소량부터 시작 / 가시 완전 제거 필수 / 간을 하지 않거나 아주 싱겁게 조리 / 처음 먹인 날 반응 관찰","날생선(미조리) / 가시 있는 상태로 제공",알레르기 의심 반응 있으면 상담 후 재시작,호흡곤란·전신 두드러기·반복 구토 → 즉시 진료,카드 31(생선) / 카드 22(단백질 다양성),대한소아청소년과학회·NHS
밀,이유식 적응 후,알레르기 가능(빵·국수·과자 등 다양한 가공식품에 포함),"두드러기, 반복 구토, 호흡기 증상","대변 변화, 지연 반응 가능","즉시 또는 지연","소량부터 시작 / 단맛이나 짠맛 가공식품은 피하기 / 아이에게 맞게 부드럽게 조리 / 처음 먹인 날 반응 관찰",짜거나 단 가공식품 형태,알레르기 의심 반응 있으면 상담 필요,두드러기·반복 구토·호흡기 증상 → 상담 필요,카드 32(밀가루) / 카드 49(가공식품 표시),NHS·대한소아청소년과학회
대두(콩·두부),이유식 적응 후(6개월 이후),알레르기 가능,"피부 발진·두드러기, 구토","설사, 지연 반응 가능","즉시 또는 지연","소량부터 시작 / 두부는 부드러운 형태로 시작 / 한 번에 한 가지씩 시도 / 처음 먹인 날 피부·구토·설사·기침 관찰",없음,알레르기 의심 반응 있으면 소아청소년과 상담,반복 구토·전신 두드러기·호흡곤란 → 즉시 진료,카드 22(단백질 다양성) / 카드 34(가족력) / 카드 6(부족하기 쉬운 영양소),대한소아청소년과학회·질병관리청
꿀,돌 이후에도 소량부터 (돌 전 절대 금지),영아 보툴리눔증 위험(알레르기와 다른 기전),"변비·약한 울음·처짐·수유 곤란(보툴리눔증 증상)",보통 수일~수주 후 증상 발현,"섭취 후 수일~수주 (보툴리눔증은 즉시형 아님)","돌 이후 소량부터 시도 / 가공식품 원재료에 꿀 포함 여부도 확인","돌 전 모든 형태의 꿀 금지(가열·가공·빵·소스 등에 섞인 것 포함)",없음,변비·약한 울음·처짐·수유 곤란 → 즉시 진료,카드 41(꿀),NHS·CDC
알레르기_일반_(피부_반응),새 재료 도입 시 매번 관찰 필요,모든 새 식재료에 해당,"전신 두드러기·붉어짐·가려움·얼굴 부종","입 주변 붉어짐(자극성 접촉피부염일 수 있음)","즉시(수분~2시간) 또는 지연(최대 2~3일)","새 재료는 한 번에 하나씩 시작 / 낮 시간에 시도(밤에는 관찰 어려움) / 먹인 날짜·양·증상 기록","여러 새 재료 동시 시작",심한 아토피·기존 알레르기·반복 두드러기 이력 있으면 시작 전 상담,호흡곤란·얼굴·입술 부종·반복 구토·전신 두드러기·축 처짐 → 즉시 응급 진료,카드 7(알레르기 증상) / 카드 9(두드러기 대처) / 카드 47(입 주변 붉어짐) / 카드 33(기록 방법),"대한소아청소년과학회·식품안전나라"
알레르기_일반_(소화기_반응),새 재료 도입 시 매번 관찰 필요,모든 새 식재료에 해당,"구토(즉시형 반응 가능)","설사·혈변·복통(지연형 반응 가능)","즉시(수분~수시간) 또는 지연(수시간~3일)","새 재료 도입 후 며칠간 대변 변화 관찰 / 새 재료와 증상 연결해서 기록",없음,반복 증상 있으면 상담,"혈변·반복 구토·탈수 의심·축 처짐 → 즉시 진료",카드 29(지연성 반응) / 카드 46(설사) / 카드 21(대변 변화) / 카드 33(기록),"NHS·대한소아청소년과학회"
알레르기_일반_(호흡기_반응),새 재료 도입 시 매번 관찰 필요,모든 새 식재료에 해당,"기침·쌕쌕거림·호흡곤란(즉시형)",없음,즉시(수분~수시간),"새 재료 도입 시 호흡 변화 관찰 / 밤에는 새 재료 첫 시도 피하기",없음,기존 천식·아토피·알레르기 이력 있으면 상담 후 시작,호흡곤란·쌕쌕거림·숨쉬기 어려움 → 즉시 응급 진료,카드 7(알레르기 증상) / 카드 40(밤에 새 재료),"대한소아청소년과학회·식품안전나라"
